  nnod     Lon    Lat      Cost    hs      dir   
 149791  -68.813  25.794  17.010  2.05  38.81 
 149792  -68.788  25.794  17.047  2.05  38.81 
 149793  -68.763  25.794  17.084  2.05  38.82 
 149794  -68.738  25.794  17.121  2.05  38.82 
 149795  -68.713  25.794  17.158  2.05  38.83 
 149796  -68.688  25.794  17.195  2.06  38.83 
 149797  -68.663  25.794  17.232  2.06  38.84 
 149798  -68.638  25.794  17.269  2.06  38.84 
 149799  -68.613  25.794  17.306  2.06  38.85 
 149800  -68.588  25.794  17.343  2.06  38.83 
 149801  -68.563  25.794  17.380  2.06  38.79 
 149802  -68.538  25.794  17.417  2.07  38.74 
 149803  -68.513  25.794  17.454  2.07  38.70 
 149804  -68.488  25.794  17.491  2.07  38.65 
 149805  -68.463  25.794  17.528  2.02  41.42 
 149806  -68.438  25.794  17.565  2.03  41.35 
 149807  -68.413  25.794  17.602  2.03  41.28 
 149808  -68.388  25.794  17.639  2.03  41.14 
 149809  -68.363  25.794  17.676  2.04  40.64 
 149810  -68.338  25.794  17.713  2.04  40.15 
 149811  -68.313  25.794  17.750  2.04  39.66 
 149812  -68.288  25.794  17.787  2.05  39.17 
 149813  -68.263  25.794  17.824  2.05  38.67 
 149814  -68.238  25.794  17.862  2.06  38.18 
 149815  -68.213  25.794  17.899  2.06  37.69 
 149816  -68.188  25.794  17.936  2.06  37.34 
 149817  -68.163  25.794  17.973  2.07  37.19 
 149818  -68.138  25.794  18.010  2.07  37.04 
 149819  -68.113  25.794  18.047  2.07  36.88 
 149820  -68.088  25.794  18.084  2.08  36.73 
 149821  -68.063  25.794  18.121  2.08  36.58 
 149822  -68.038  25.794  18.158  2.09  36.43 
 149823  -68.013  25.794  18.195  2.09  36.27 
 149824  -67.988  25.794  18.232  2.09  36.18 
 149825  -67.963  25.794  18.269  2.10  36.16 
 149826  -67.938  25.794  18.306  2.10  36.14 
 149827  -67.913  25.794  18.344  2.10  36.11 
 149828  -67.888  25.794  18.381  2.11  36.09 
 149829  -67.863  25.794  18.418  2.11  36.07 
 149830  -67.838  25.794  18.455  2.12  36.04 
 149831  -67.813  25.794  18.492  2.12  36.02 
 149832  -67.788  25.794  18.529  1.99  39.38 
 149833  -67.763  25.794  18.566  1.99  39.31 
 149834  -67.738  25.794  18.603  2.00  39.23 
 149835  -67.713  25.794  18.641  2.00  39.15 
 149836  -67.688  25.794  18.678  2.00  39.07 
 149837  -67.663  25.794  18.715  2.00  39.00 
 149838  -67.638  25.794  18.752  2.01  38.92 
 149839  -67.613  25.794  18.789  2.01  38.84 
 149840  -67.588  25.794  18.827  2.01  38.77 
 149841  -67.563  25.794  18.864  2.01  38.71 
 149842  -67.538  25.794  18.901  2.02  38.64 
 149843  -67.513  25.794  18.938  2.02  38.58 
 149844  -67.488  25.794  18.975  2.02  38.51 
 149845  -67.463  25.794  19.013  2.02  38.45 
 149846  -67.438  25.794  19.050  2.03  38.38 
 149847  -67.413  25.794  19.086  2.03  38.32 
 149848  -67.388  25.794  19.123  2.03  38.25 
 149849  -67.363  25.794  19.160  2.03  38.19 
 149850  -67.338  25.794  19.197  2.04  38.13 
 149851  -67.313  25.794  19.234  2.04  38.07 
 149852  -67.288  25.794  19.271  2.04  38.01 
 149853  -67.263  25.794  19.308  2.04  37.95 
 149854  -67.238  25.794  19.345  2.05  37.89 
 149855  -67.213  25.794  19.382  2.05  37.83 
 149856  -67.188  25.794  19.419  2.05  37.76 
 149857  -67.163  25.794  19.456  2.05  37.66 
 149858  -67.138  25.794  19.493  2.05  37.57 
 149859  -67.113  25.794  19.530  1.94  37.81 
 149860  -67.088  25.794  19.567  1.95  37.75 
 149861  -67.063  25.794  19.604  1.95  37.69 
 149862  -67.038  25.794  19.641  1.95  37.63 
 149863  -67.013  25.794  19.678  1.95  37.57 
 149864  -66.988  25.794  19.715  1.95  37.52 
 149865  -66.963  25.794  19.752  1.95  37.49 
 149866  -66.938  25.794  19.789  1.95  37.46 
 149867  -66.913  25.794  19.826  1.95  37.43 
 149868  -66.888  25.794  19.863  1.96  37.40 
 149869  -66.863  25.794  19.900  1.96  37.37 
 149870  -66.838  25.794  19.937  1.96  37.34 
 149871  -66.813  25.794  19.974  1.96  37.31 
 149872  -66.788  25.794  20.011  1.96  37.28 
 149873  -66.763  25.794  20.048  1.96  37.25 
 149874  -66.738  25.794  20.085  1.97  37.22 
 149875  -66.713  25.794  20.122  1.97  37.18 
 149876  -66.688  25.794  20.159  1.97  37.15 
 149877  -66.663  25.794  20.195  1.97  37.12 
 149878  -66.638  25.794  20.232  1.98  37.09 
 149879  -66.613  25.794  20.269  1.98  37.05 
 149880  -66.588  25.794  20.306  1.98  37.02 
 149881  -66.563  25.794  20.343  1.98  36.98 
 149882  -66.538  25.794  20.379  1.98  36.95 
 149883  -66.513  25.794  20.416  1.98  36.91 
 149884  -66.488  25.794  20.453  1.99  36.88 
 149885  -66.463  25.794  20.490  1.99  36.84 
 149886  -66.438  25.794  20.527  1.88  36.72 
 149887  -66.413  25.794  20.564  1.88  36.71 
 149888  -66.388  25.794  20.601  1.88  36.69 
 149889  -66.363  25.794  20.637  1.88  36.67 
 149890  -66.338  25.794  20.674  1.88  36.64 
 149891  -66.313  25.794  20.711  1.88  36.62 
 149892  -66.288  25.794  20.748  1.89  36.60 
 149893  -66.263  25.794  20.785  1.89  36.58 
 149894  -66.238  25.794  20.822  1.89  36.56 
 149895  -66.213  25.794  20.859  1.89  36.54 
 149896  -66.188  25.794  20.895  1.89  36.51 
 149897  -66.163  25.794  20.932  1.89  36.48 
 149898  -66.138  25.794  20.969  1.89  36.44 
 149899  -66.113  25.794  21.006  1.89  36.41 
 149900  -66.088  25.794  21.043  1.90  36.38 
 149901  -66.063  25.794  21.079  1.90  36.34 
 149902  -66.038  25.794  21.116  1.90  36.31 
 149903  -66.013  25.794  21.153  1.90  36.28 
 149904  -65.988  25.794  21.189  1.90  36.24 
 149905  -65.963  25.794  21.226  1.90  36.20 
 149906  -65.938  25.794  21.263  1.90  36.16 
 149907  -65.913  25.794  21.299  1.90  36.12 
 149908  -65.888  25.794  21.336  1.91  36.08 
 149909  -65.863  25.794  21.373  1.91  36.04 
 149910  -65.838  25.794  21.409  1.91  36.00 
 149911  -65.813  25.794  21.446  1.91  35.96 
 149912  -65.788  25.794  21.483  1.91  35.92 
 149913  -65.763  25.794  21.519  1.87  35.96 
 149914  -65.738  25.794  21.556  1.87  35.94 
 149915  -65.713  25.794  21.593  1.87  35.93 
 149916  -65.688  25.794  21.629  1.88  35.92 
 149917  -65.663  25.794  21.666  1.88  35.91 
 149918  -65.638  25.794  21.703  1.88  35.90 
 149919  -65.613  25.794  21.740  1.88  35.89 
 149920  -65.588  25.794  21.776  1.88  35.87 
 149921  -65.563  25.794  21.813  1.88  35.85 
 149922  -65.538  25.794  21.850  1.88  35.83 
 149923  -65.513  25.794  21.886  1.88  35.80 
 149924  -65.488  25.794  21.923  1.89  35.78 
 149925  -65.463  25.794  21.960  1.89  35.76 
 149926  -65.438  25.794  21.997  1.89  35.74 
 149927  -65.413  25.794  22.033  1.89  35.71 
 149928  -65.388  25.794  22.070  1.89  35.68 
 149929  -65.363  25.794  22.107  1.90  35.64 
 149930  -65.338  25.794  22.143  1.90  35.60 
 149931  -65.313  25.794  22.180  1.90  35.55 
 149932  -65.288  25.794  22.217  1.90  35.51 
 149933  -65.263  25.794  22.253  1.91  35.47 
 149934  -65.238  25.794  22.290  1.91  35.42 
 149935  -65.213  25.794  22.327  1.91  35.38 
 149936  -65.188  25.794  22.363  1.91  35.34 
 149937  -65.163  25.794  22.400  1.92  35.31 
 149938  -65.138  25.794  22.437  1.92  35.28 
 149939  -65.113  25.794  22.473  1.92  35.25 
 149940  -65.088  25.794  22.510  1.77  33.67 
 149941  -65.063  25.794  22.547  1.77  33.63 
 149942  -65.038  25.794  22.583  1.77  33.60 
 149943  -65.013  25.794  22.620  1.77  33.56 
 149944  -64.988  25.794  22.657  1.77  33.55 
 149945  -64.963  25.794  22.694  1.77  33.57 
 149946  -64.938  25.794  22.730  1.77  33.59 
 149947  -64.913  25.794  22.767  1.78  33.61 
 149948  -64.888  25.794  22.804  1.78  33.63 
 149949  -64.863  25.794  22.841  1.78  33.65 
 149950  -64.838  25.794  22.877  1.78  33.67 
 149951  -64.813  25.794  22.914  1.78  33.69 
 149952  -64.788  25.794  22.951  1.78  33.72 
 149953  -64.763  25.794  22.988  1.78  33.77 
 149954  -64.738  25.794  23.024  1.78  33.82 
 149955  -64.713  25.794  23.061  1.78  33.88 
 149956  -64.688  25.794  23.097  1.78  33.93 
 149957  -64.663  25.794  23.134  1.78  33.98 
 149958  -64.638  25.794  23.170  1.78  34.03 
 149959  -64.613  25.794  23.207  1.78  34.09 
 149960  -64.588  25.794  23.243  1.78  34.08 
 149961  -64.563  25.794  23.279  1.78  34.01 
 149962  -64.538  25.794  23.316  1.78  33.95 
 149963  -64.513  25.794  23.352  1.79  33.88 
 149964  -64.488  25.794  23.389  1.79  33.82 
 149965  -64.463  25.794  23.425  1.79  33.75 
 149966  -64.438  25.794  23.462  1.79  33.68 
 149967  -64.413  25.794  23.498  1.79  33.62 
 149968  -64.388  25.794  23.534  1.67  30.46 
 149969  -64.363  25.794  23.571  1.67  30.43 
 149970  -64.338  25.794  23.607  1.67  30.40 
 149971  -64.313  25.794  23.644  1.67  30.37 
 149972  -64.288  25.794  23.680  1.67  30.33 
 149973  -64.263  25.794  23.717  1.67  30.30 
 149974  -64.238  25.794  23.753  1.67  30.27 
 149975  -64.213  25.794  23.790  1.67  30.24 
 149976  -64.188  25.794  23.826  1.67  30.22 
 149977  -64.163  25.794  23.863  1.67  30.20 
 149978  -64.138  25.794  23.899  1.67  30.18 
 149979  -64.113  25.794  23.936  1.67  30.17 
 149980  -64.088  25.794  23.972  1.67  30.15 
 149981  -64.063  25.794  24.009  1.67  30.14 
 149982  -64.038  25.794  24.045  1.67  30.12 
 149983  -64.013  25.794  24.081  1.67  30.10 
 149984  -63.988  25.794  24.117  1.67  30.09 
 149985  -63.963  25.794  24.154  1.67  30.10 
 149986  -63.938  25.794  24.190  1.67  30.10 
 149987  -63.913  25.794  24.226  1.67  30.11 
 149988  -63.888  25.794  24.262  1.67  30.11 
 149989  -63.863  25.794  24.299  1.67  30.12 
 149990  -63.838  25.794  24.335  1.67  30.12 
 149991  -63.813  25.794  24.371  1.67  30.13 
 149992  -63.788  25.794  24.407  1.67  30.13 
 149993  -63.763  25.794  24.443  1.67  30.15 
 149994  -63.738  25.794  24.480  1.67  30.16 
 149995  -63.713  25.794  24.516  1.63  24.80 
 149996  -63.688  25.794  24.552  1.62  24.87 
